x    T1         T2         T3         T4
2    100.0      0.0        0.0        0.0
3    66.67      33.33      0.0        0.0       
4    40.0       40.0       20.0       0.0       
5    28.57      28.57      42.86      0.0       
6    27.27      18.18      54.55      0.0       
7    26.67      13.33      46.67      13.33     
8    22.73      18.18      59.09      0.0       
9    20.0       13.33      60.0       6.67      
10   19.05      14.29      61.9       4.76      
11   17.86      12.5       66.07      3.57      
12   18.18      10.39      66.23      5.19      
13   17.82      9.9        64.36      7.92      
14   17.78      10.37      67.41      4.44      
15   17.61      7.95       66.48      7.95      
16   17.32      8.66       65.37      8.66      
17   17.17      8.42       65.66      8.75      
18   16.62      7.53       65.45      10.39     
19   16.33      7.76       64.08      11.84     
20   15.63      8.29       65.07      11.0      
21   15.28      7.83       64.27      12.63     
22   14.57      8.28       64.17      12.97     
23   14.18      8.45       64.22      13.15     
24   13.59      8.51       64.44      13.46     
25   13.23      8.68       63.79      14.3      
26   12.73      8.78       64.29      14.2      
27   12.43      8.8        63.95      14.82     
28   12.02      8.85       63.88      15.25     
29   11.76      8.98       63.79      15.47     
30   11.44      8.87       63.7       15.99     
31   11.22      8.87       63.29      16.62     
32   10.95      8.92       63.31      16.82     
33   10.76      8.85       62.96      17.43     
34   10.52      8.79       62.75      17.94     
35   10.33      8.82       62.5       18.35     
36   10.12      8.74       62.3       18.84     
37   9.94       8.72       61.95      19.38     
38   9.73       8.69       61.83      19.75    
39   9.56       8.67       61.54      20.23    
40   9.36       8.62       61.33      20.69    
41   9.18       8.63       61.11      21.08     
42   8.99       8.6        60.92      21.49     
43   8.82       8.57       60.68      21.94     
44   8.63       8.57       60.54      22.25     
45   8.46       8.55       60.31      22.67     
46   8.29       8.52       60.14      23.05     
47   8.13       8.52       59.96      23.39     
48   7.96       8.5        59.79      23.75     
49   7.81       8.48       59.59      24.12     
50   7.65       8.46       59.45      24.44     
51   7.51       8.44       59.24      24.81     
52   7.36       8.42       59.08      25.15     
53   7.22       8.4        58.9       25.48     
54   7.09       8.37       58.72      25.82    
55   6.96       8.34       58.53      26.17    
56   6.83       8.31       58.37      26.48     
57   6.72       8.28       58.17      26.83     
58   6.6        8.25       58.0       27.15     
59   6.48       8.22       57.82      27.48     
60   6.37       8.19       57.64      27.8      
61   6.27       8.15       57.45      28.14    
62   6.16       8.12       57.28      28.44     
63   6.06       8.08       57.09      28.77 
64   5.96       8.05       56.92      29.08 
65   5.87       8.01       56.74      29.39 
66   5.77       7.98       56.56      29.69 
67   5.68       7.94       56.38      30.0  
68   5.59       7.9        56.22      30.29 
69   5.5        7.87       56.04      30.59 
